,company,bbb_company_id,phone,user_rating_out_of_5,customer_review_1_date,customer_review_1,business_review_resposne_1_date,buisness_review_resposne_1
10,Carvana LLC,1126-1000037076,8003334554,1,07/11/2024,"Horrible experience. It was going so smooth and well at first. Got pre-approved, shopped within the pre-approval selection. I got started on the purchase of the vehicle, made the down payment, and got the screen saying purchase completed and the vehicle is on its way. Was informed they just needed to verify my paystubs. I was then emailed the next day, informing me I had documents missing and had until noon to upload the documents. Email was received barely an hour before the deadline. I called at my lunch time at noon, informed carvana that I had submitted all the documents needed as well as was shown the purchase completed. They reevaluated the terms and told me I would need a $4,000 down payment for the vehicle. This was after the initial down payment was received as well as the terms pre-approved. I had to cancel the order for the vehicle and they said they may refund me for the purchase of the vehicle.",no response,No response
11,Carvana LLC,1126-1000037076,8003334554,1,07/10/2024,"Run away!!! I recently bought a car from them, only to find out that it needed $750 in repairs. Their warranty department refused to pay saying they dont cover the items needing replaced. I contacted Carvana telling them about the situation. They told me to bad. I told them they claimed to do a 150 point inspection, claiming these items were good, then sold me a car without telling me it needed repairs. Dont trust them! They dont stand behind what they say!",no response,No response
12,Carvana LLC,1126-1000037076,8003334554,1,07/10/2024,"Got two different cars with significant mechanical issues and was told I could get fixed but would have to take it in to a mechanic, this company does not test drive the vehicles and only do a simple point inspection,my complaint is that with each vehicle I've tried there's been issues with them. Hire a employee to test drive your cars and stop having your customers do your work for you.",no response,No response
13,Carvana LLC,1126-1000037076,8003334554,1,07/10/2024,"Bought a vehicle from Carvana and there was nothing reported about an accident or anything bad with it. 115 days after, which makes 15 days after their warranty expired, my car starts to hesitate. I take it to **** they tell me not only is the transmission bad but the original has been removed. I call Carvana to inform them of my issue and they tell me that I am outside of the warranty and have to pay for the $18,000 transmission replacement. I should add that the list of shops they send you to in the first few days wouldn't check anything with the transmission.",no response,No response
14,Carvana LLC,1126-1000037076,8003334554,1,07/10/2024,"If I could give Carvana a 0 I would. WORST EXPERIENCE EVER! I paid cash for a car on May 1, 2024. It's now July 10th and I still don't have the title or registration . The temporary plates have expired and I cannot drive the vehicle. Carvana did not submit the paperwork to the *** correctly and there's nothing to do. DO NOT BUY from them. Not worth the hassle.",no response,No response
15,Carvana LLC,1126-1000037076,8003334554,1,07/09/2024,This company is a scam. They do not honor their 7 day return policy. Their vehicles are not what they show on the website. When you try to work with them they seems to be good people but they try to force you to get a vehicle that needs to be fixed.  If you switch it out for another car it has to sit in your yard for at least 7 to 10 days before they come to do the swap. And their is no guarantee that the car that they bring is in good shape. They brought me to lemons and still tried to get me to get a third car. All of it is a scam to get you to go over your days so you will be responsible for the vehicle with no money back.,no response,No response
16,Carvana LLC,1126-1000037076,8003334554,1,07/09/2024,"Horrible Experience I provided all they ask for and all the down payment just to tell me a couple of days later that the info was incorrect just because my driver license has a JR and my pay stubs do not what type of business does this people do , just because a simple thing they are not allow to continue forward and they do not give you no options to try to help you with it , definitely not using them in the future , the representative needs more training in how to retain a costumer and work with them to find a resolution .",no response,No response
17,Carvana LLC,1126-1000037076,8003334554,1,07/09/2024,"They took the down payment from my checking account before they had fully approved the financing, which turned out to not be approved. They then tell me it will be 10 to 15 business days before I get a refund for the down payment. It takes 24 hours for them to take it from you but 2 weeks to give it back, even when they shouldn't have taken it in the first place. Will NEVER buy from Carvana again!",no response,No response
18,Carvana LLC,1126-1000037076,8003334554,1,07/09/2024,My 17 year old son bought his first car through Carvana. He was very excited and found what he wanted. It had black alloy rims (or so that is what was FALSELY ADVERTISED). First car wash by hand was at about day 10/11 of ownership.so after the 7 days for a return.and the so called black alloy rims came right off and are actually silver alloy rims. I would recommend that you never buy a car from Carvana. The representatives that I spoke with on the phone put in a claim and I was told that I would hear from them within ***** hours. I never got a response back. So two weeks later I called and was told oh ya it says here that they arent doing anything about it. So then when asked to talk with a manager I was not given any information and then sent a text from a SMS advocate. Who could get nothing resolved. Unable to even speak to a human on the phone other than the representative that read a script from a book. Reaching out to BBB for some help.,no response,No response
19,Carvana LLC,1126-1000037076,8003334554,1,07/09/2024,"Carvana canceled my car order because I have a permit and they said I could not get a car. However they took out a ****** down payment and a ****** delivery fee for a car I never received. I would advise anyone not to do business with them because they take peoples money without providing goods or services.This has been a terrible experience, and I advise you not to be fooled by them.",no response,No response
20,Carvana LLC,1126-1000037076,8003334554,1,07/08/2024,"well where do I start. first of all the first truck I ordered they scratched it, then the driver said the truck also has 4 bald tires. I asked the manager to show me the scratch and undercarriage and boy they whole underneath of the truck was rusted out terrible. They do not show the undercarriage for a reason so that was a no go for me!Second truck I ordered paper work was messed up so they gave me $100 off. Then I paid for transfer of my tags from old truck to new truck and they screwed that up then next thing I know I get $200 fine for having tags w/out insurance. Now they want to see if I paid for my tags? Why who knows who cares they charged me for something they did not do, so give me my money back. Also DMV charged me $200 for no insurance on my old tags meanwhile I'm waiting for registration and ready to put on my old tags on my new truck. THERE IS NO ONE PROFESSIONAL TO TALK TO NO MANAGER HIGHER UP JUST REGULAR OLD SALES PEOPLE AND THIS IS THE FIRST AND LAST TIME FOR ME. DO NOT BUY BECAUSE THEY DO NOT GIVE A FLYING FISH! THE WORST PART IS THEIR IS NO ONE TO TALK TO JUST SOME REGULAR ** THAT DOES NOT KNOW **** FROM ****! REALLY MESSED ME UP ALSO HAD TO GO TO DMV 3 TIMES AND LOST 3 HALF DAYS OF WORK. WORKING FOR THE DISTRICT YOU CAN'T TAKE ONE HOUR OFF ITS 4 HOURS OR A WHOLE DAY, SO WHOS PAYING FOR THAT CRAP!? NOT CARVANA SO BE SURE NOT TO PURCHASE SOMETHING YOU CAN'T SEE AND BEWARE BECAUSE THEY ARE SLOPPY WITH THE ***** WORK AND I CAN'T TELL YOU HOW MANY TIMES IVE SENT THE SAME ***** WORK TO THEM OVER AND OVER AND OVER AND OVER!!!!! THEY STINK",no response,No response
21,Carvana LLC,1126-1000037076,8003334554,1,07/07/2024,"The Carvana employee who dropped off our car told my husband to get the car inspected within a week of having it  and suggested the dealership. So thats what we did and spent over $300 on it. Silver Rock turned around and said get a second opinion at Valvoline which we did. Silver Rock took care of the inspection fee and most of the repairs. They they turned around and denied the Jeeps inspection. They said it was Carvanas problem because their worker misinformed us. We then brought this info to Carvana and they promised us a call first thing the next day so they could check with the person who dropped off the car to see what he claimed he told us. Over three hours after they were supposed to have called us, we got a simple text saying sorry they talked to the guy and he says he told us to a Carvana approved place (which he did not). The company seemed to have no sympathy and did nothing to help us. They basically are saying we are liars and that they dont believe what we spent hours on the phone trying to tell them. Will never use them again.",no response,No response
22,Carvana LLC,1126-1000037076,8003334554,1,07/07/2024,"Horrible experience, over promise, never deliver. Delayed delivery 3 times and wouldn't communicate as to why. First reason they said there was a problem with the car. When we asked what the problem was, they said, and I quote, that is information we dont have and will never provide.When we tried to get the problem escalated, they replied with something similar, we have a team leader, but we would get the same response.This is obvious that Carvana doesnt care about their customers. I will never attempt a purchase through them again. Highly recommend never to use them. You will be greatly disappointed by the experience.",no response,No response
23,Carvana LLC,1126-1000037076,8003334554,1,07/06/2024,"If I could give Carvana a zero, I would. I bought a car through their website. They offered me a pickup on July 5th, but required that I provide confirmation, including a check, by July 4th, which is a federal holiday. Their online (human) assistant was terrible and ended the chat when I asked to speak to a supervisor. Finally, after I missed their 2 p.m. deadline, I got through to customer service on the phone. She apologized and gave me a new pickup on July 6th. I obtained all documents and submitted them by their 7/5 deadline and they confirmed pickup on July 6th. At 7:02 a.m. they sent another confirmation. At 7:07 a.m. they cancelled and told me the earliest pick up was 7/10-- a week after I had approximately $17K transferred from my bank account to them. I called customer service and they told me that PICK *** ARE ALWAYS SUBJECT TO CHANGE and that she could not tell me why the car was delayed. She admitted she can't promise it will be available on 7/10!  I reported them to the ** in my state but I can't even go buy another car -- they have all my money and the bank is closed, I can't go to the loan officer and stop my financing. They should not be permitted to operate.",no response,No response
24,Carvana LLC,1126-1000037076,8003334554,1,07/06/2024,"I had a similar problem with as many of the people here. They lagged on the paperwork. Took thousands of dollars before my paperwork was finished. I cancelled and was assured the money would not be taken out... Then said it would take 10 - 15 days to give it back to me.  Also, AI and Humans are both unhelpful.Don't do it, unless you can loose thousands of dollars.",no response,No response
25,Carvana LLC,1126-1000037076,8003334554,1,07/05/2024,They did not tell me the vehicle had been in an accident and covered up the front damage very well. I didn't notice until I really looked at it and they refused to replace the $400 dollar bumper.,no response,No response
26,Carvana LLC,1126-1000037076,8003334554,1,07/05/2024,Purchased two 2017 Jeep wranglers in the past month from Carvana the first one had the check engine light come on with the second week. It is a pain to get a local shop to run diagnostic tests. Second Jeep is grounds for bait and switch. Purchased with the expectations of having custom rims and tires. The listing also listed the Jeep having leather interior.  Came with 5 of the cheapest rims and tires that jeep offers. There is absolutely no leather inside of the jeep as well. Spike with carvana customer service and they stated that the rims and tires were damaged during transport/ delivery driver stated he picked the jeep up that way. This was our 2nd and 3rd carvana Purchase in several years and will be the last.,no response,No response
27,Carvana LLC,1126-1000037076,8003334554,1,07/05/2024,"Worst company ever. This was my first time buying a car that was from a dealership. I bought a car that was 10 years old for the price I could have bought a new car, but I was naive about car ownership and details of purchasing a car. the car is horrible almost $5000 worth of work on a car that I have had for less than a year. ***** for a2014 Kia ***** And it was stolen on the 7th day of my purchase and I wasn't allowed to return it. so now I have a piece of c*** that I have to pay $500 per month for. I was unaware of the *** cars being stolen at the time of purchase. That should have been a side note when they were selling the car to me. I can't afford to buy another car and turning this in I would be 10, 000 down to get a new car to cover the car note I have with this one. Carvana is by far the worst. I only heard about this awful place from previous customers after I made my purchase and could not turn back.",no response,No response
28,Carvana LLC,1126-1000037076,8003334554,1,07/05/2024,Carvana has managed to twice now not be able to have my new car ready and has had to move the appointment. They constantly come up with additional excuses on why. Typically a dealership doesnt s**** their customers over prior to delivering the car. Buyer beware. This company is a joke.,no response,No response
29,Carvana LLC,1126-1000037076,8003334554,1,07/04/2024,"They rescheduled our pick up 3 times. To pick up we had to drive 4.5 hours to pick up. That wasnt the problem. We had already drove to our destination to find out the car was delayed and that was sent through a text that my phone received late. They rescheduled for the 4 the July and the same pick up times. We received a text on the 3rd that they still could not deliver. After dealing with customer service they said they had rescheduled for the 5th. Ill be canceling tomorrow because my husband or I cannot afford to keep renting rooms for this delivery issue. I just want the money back that we paid to have it delivered . This company is a scam and after reading up on them, the ones who own it are felons and they are continuing to get over on people. I would not recommend them to anyone !",no response,No response
30,Carvana LLC,1126-1000037076,8003334554,1,07/03/2024,Carvana is a scam. They easily took my money and now I have to wait God knows how long to get it back. The website lied and so did the Carvana representative. I was told that my bank statements weren't sufficient so I sent in my pay stubs according to them I must not get paid. I make well over the amount per month and then they wanted my last two years of income tax. I submitted what was originally asked for and the representative kept giving me the run around. Well they lost a customer for life,no response,No response
31,Carvana LLC,1126-1000037076,8003334554,1,07/03/2024,Car arrived with bald and cracked tires they agreed to have them inspected but not until our 7 day trial was over so we replaced the tires with our own money very disappointed and feel we were misled or even outright scammed.  We will be getting the car inspected and I will update when I receive more information.,no response,No response
32,Carvana LLC,1126-1000037076,8003334554,1,07/03/2024,"NOT impressed. The selection, buying, and delivery process were easy enough but thats the end of the good. As for the bad, the car was filthy, didnt look like they even wiped down the dash, let alone clean up all of the gunk on and in between the seats. It has a funky smell that we have been working at getting rid of. Also, when the delivery driver was taking it off of the truck HE noticed that the rear camera wasnt working. So they delivered it defective and I have to PAY $100 deductible to have it looked at and/or fixed. I had a roadtrip planned the next day after this was delivered so I didnt get it looked at before my 7 day return window closed. My mistake but it would have been nice had they at least brought me a car in working condition that they actually took a little effort to clean. There are more things going wrong now and I dont even have a license plate yet but its too late to return. I tried dealing with their warranty process but that just gave me a migraine, NOT an easy task. Now I just plan to find my own mechanic and deal with it myself and leave them completely out of it. Im sure that is just part of their scam, make it so difficult that you give up and they dont have to make it right. Save yourself the headache and buy a certified preowned vehicle from an actual dealership.",no response,No response
33,Carvana LLC,1126-1000037076,8003334554,1,07/02/2024,"I recently had the worst experience with Carvana. From the start, they required me to file unnecessary documents, which added a lot of hassle and wasted time. When I followed their instructions exactly, they still claimed the documents were incorrect. My accountant and I were both certain that everything was in order, but Carvanas team was uncooperative and dismissive of our concerns.Now, my money is essentially being held hostage by them. Despite multiple attempts to resolve the issue, Carvana has been slow to respond and unhelpful. Their customer service is severely lacking, and it feels like they are doing everything possible to avoid returning my money.This experience has been incredibly frustrating and stressful. Carvanas service is unreliable and untrustworthy. They are quick to take your money, but when its time to return it, its an ordeal. Their communication is poor, and they seem more interested in making excuses than in providing real solutions.I strongly advise against using Carvana for your car buying needs. Save yourself the trouble and look elsewhere for a company that values its customers and operates with integrity.",no response,No response
34,Carvana LLC,1126-1000037076,8003334554,1,07/02/2024,My daughter bought a car from Carvana.  She was having car issues so she took it to a dealership.  Dealership pulled car fax and said it's a lemon.  Carvana then traded that vehicle with one that has a bad transmission and now won't authorize the repairs.  Carvana is total scam.,no response,No response
35,Carvana LLC,1126-1000037076,8003334554,1,07/02/2024,"STAY AWAY - Horrendous customer service, even for a returning customer. They are condescending and not helpful at all. They don't care about customer satisfaction.Save yourself some trouble and go ELSEWHERE!",no response,No response
36,Carvana LLC,1126-1000037076,8003334554,1,07/02/2024,Carvana is a scam. They took $1200 from my young daughter and then told her that she was not approved for financing because she had a prepaid phone program. Absolutely ridiculous and I do not recommend. Carvana also bought a car from my husband and I and was supposed to pay off the rest of the loan and didnt do it for 2 months. My daughter is still waiting for her return.,no response,No response
37,Carvana LLC,1126-1000037076,8003334554,1,07/02/2024,They took $1290 out of my bank account and then after denying us they refuse to refund our money.,no response,No response
38,Carvana LLC,1126-1000037076,8003334554,1,07/02/2024,"I was trying to sell my car to carvana, I went to the mechanic to make sure everything in my car was working properly the day before the carvana inspection. Everything was perfect. I show up at carvana and this lady tells me upfront she doesnt know anything about cars, I dont know why, but it gave me a bit of anxiety. She goes to my car and pull the obd port way out of the box and break it right in front of me. I told her she was not supposed to pull it out that far, she broke it. She didnt care, she said : your obd port is broken, you can go fix it or we can buy your car for less ? I left went back to the mechanic and fixed the obd port. I rescheduled an appointment with carvana for second inspection. It was the same lady, she told me to wait at her desk while she does the inspection she came back telling me the sunroof is broken, she opened it but cant close it !! My sunroof worked properly the day before when I fixed the obd port. She again suggest to sell my car for less ! My mechanic and I are convinced she kept breaking parts of my car at inspection to buy my car for less now I have to fix the sunroof for 3,500$.",no response,No response
39,Carvana LLC,1126-1000037076,8003334554,1,07/02/2024,"Predatory loans, DO NOT DO BUSINESS WITH THEM. It takes a real scumbag to prey on those without much.",no response,No response
40,Carvana LLC,1126-1000037076,8003334554,1,07/01/2024,"Carvana took my shipping money if $1,000 and called me telling me to call my bank and them two days later due to it being a weekend and then gave the car to someone else to buy while keeping my money. Very rude customer service when I asked for their legal team.",no response,No response
41,Carvana LLC,1126-1000037076,8003334554,1,07/01/2024,Worst company ever. I needed to buy a car and after I paid and submitted all of my information. I was told the car I had purchased was no longer up for sale. So now I have been sitting out thousands of dollars with no way to get it back. I have been told it could take 2-3 weeks to get my refund in a system that was able to take my money in 1 day.How could a business be so incompetent that it 1. can take money before reserving the inventory it promises and 2. Not immediately refund a customer for a fraudulent advertisement?NEVER USE CARVANA. They are poorly run with the least helpful customer service ******************** that I have ever dealt with. I look forward to the day that this company ceases to exist.,no response,No response
42,Carvana LLC,1126-1000037076,8003334554,1,07/01/2024,"Never again. Purchased a car for our daughter and ended up having to put another $2000 into it due to immediate maintenance issues. After the 7 day trial period one of the tires got a nail in it so we took it to the store and they indicated that all 4 tires were bald and the spare was even bad. Submitted a claim to their third party (silverrock) who is useless and will not approve anything. Spent hours on the phone which ended up being a waste of time. Carvana was not helpful at that point either. We decided to take it to a mechanic shop because if the tires were bad what else was wrong with it? The mechanic shop came back with a whole list of issues, but the most concerning was their was too much engine oil, low coolant, and the transmission fluid had never been replaced. How can they claim they conduct a multi point inspection when it has dangerous fluid levels. ********** denied these claims as well. ****** learned to never trust what a company advertises. If you are going to buy a car form them make sure you pay to have it inspected yourself within the first 7 days.",no response,No response
43,Carvana LLC,1126-1000037076,8003334554,1,06/30/2024,I applied for a loan and was given the loan and then they denied it because my bankruptcy and yet they kept the $500 meant for the loan deposit! I had to contact them for a refund and now its going to be 7-10 days before they even consider my refund! Talk about theft and lousy business practices. It makes them look shoddy. No wonder they are going out of business,no response,No response
44,Carvana LLC,1126-1000037076,8003334554,1,06/29/2024,"Carvana and Silverock are the biggest scammers ever, bought a *** x1 with ****** miles, as soon as I got the car front and rear brakes with roaters had to be replaced, radio stop working, windshield washer leaking, now today the ac went out. Im paying so much money out of pocket, every second something stop working. Now Im left with all these repairs plus have to pay car payments. This is extremely frustrated. They dont care they sell cars that are not up to par.",no response,No response
45,Carvana LLC,1126-1000037076,8003334554,1,06/29/2024,Total ****..purchased vehicle w 2000 down.. Delivery delayed twice. No expected date of arrival.. No answer on their end as to why..  Cancelled.. Took my money down same day.. 3 to 5 days to get it back..this place is a joke. Do not recommend..,no response,No response
46,Carvana LLC,1126-1000037076,8003334554,1,06/28/2024,"Buying a car from Carvana was fairly straightforward, but that's where the good news stops. We paid cash for the car, which simplified things a bit. Getting the title, registration, and license plates has been a horrible experience. We live in the state of **********, and registration steps have to go through the **** We promptly completed all the paperwork Carvana requested of us, then I received an avalanche of harassing text messages for a week complaining that we hadn't returned a particular document. It turned out we didn't receive that document until more than a week after the harassing text messages began. Nine weeks after buying the car we received the license plates and the registration. However, the registration didn't list my husband. I called Carvana about that and learned Carvana no longer lists co-owners or registrants! Where was that information weeks ago? Also, the customer service rep told me the title won't arrive for another 6 to 10 weeks. Why didn't we learn that months ago?",no response,No response
47,Carvana LLC,1126-1000037076,8003334554,1,06/28/2024,I was in process of purchasing a vehicle an was not approved but they still drafted the payment from my bank account.  I don't understand if I wasn't approved why would the money come out of my account,no response,No response
48,Carvana LLC,1126-1000037076,8003334554,1,06/27/2024,"Its the worst company to buy a car. **************** is a joke with mindless people unable to think or provide a solution that is viable.Couldn't buy my car because the second last name that appears on my DL doesn't appear anywhere else on my bills, paustubs, passport of any other document. The solution from i....diot on the phone was to change the name on my paystubs and wait until i have 2 paystubs to be able to submit it (over a month) or to get a cosigner ( even though i dont need it) which makes no sense because even with a cosigner my paystubs are still without the second last name. And i have financed a lot of stuff with different banks with my documents and never had a problem. They just kill the sale.  Dont buy from them its a scam!!!!!!",no response,No response
49,Carvana LLC,1126-1000037076,8003334554,1,06/27/2024,"Absolutely bad experience from start to finish. I was lured in with a monthly payment estimate based on my (accurate) credit information only to find after the hard credit check that the actual payments were going to be about 25% higher because THEIR interest rate was higher than THEY predicted. So, I financed it myself and paid the full price. They took the money from my account the next day, while I had to wait 9 days for the car to ship. OK, but at 8pm on the 8th day, 13 hours before the scheduled weekday pickup, I received a text saying it would be another two days because of a shipping delay. I'd already taken off work, pulled the kids out of daycare and cleared out my old car for a trade in -- oh yeah, the trade value they offered was $2k less than KBB. I asked to have the $690 shipping cost at least partly refunded to compensate and they flat out refused because they were ""not contractually obligated"" to take care of me. I offered to drive to wherever the car was to get it and received an email saying that wouldn't work because it was a failed State inspection, not shipping, that caused the delay because of a busted tail light. That's odd because I received a detailed ""150 point Carvana inspection report"" that specifically said they'd checked the tail light and gave it the OK. How am I supposed to be confident in the inspection of everything else they claimed to have cleared, even when they missed something a child (much less a mechanic) could see was broken? I said I wanted to cancel my order and learned it could take 10 bus. days to get my money back (longer for the shipping cost, if at all). So, they took my money right away and held it, which prevented me from backing out of the deal after they lied about the inspection and failed to deliver on time (NINE DAYS after the ""purchase""). I will never buy from Carvana again. I wish I never had, and I'll tell anyone who will listen that they shouldn't either. I'll use every character allowed: Carvana is garbage!",no response,No response
