,keyword,importance,total_importance
64,"carvana, cars life, dealer, customer service, customer",0.5799-0.3585-0.3572-0.3244-0.3084,1.93
65,"terrible customer experience, customer experience, lower price, customer service rep, customer",0.5362-0.4218-0.4154-0.3817-0.3782,2.13
66,"rescheduling, reschedule, rescheduled, schedule delivery, delivery day",0.5205-0.5106-0.4909-0.4629-0.3835,2.37
67,"carvana, scam, loan, buyer, car",0.4693-0.3993-0.3421-0.2563-0.2434,1.71
68,"cancel, scam, scam artists, carvana llc, bank",0.4629-0.4262-0.3972-0.3941-0.3085,1.99
69,"jeep, radiator, carvana, engine, water",0.5312-0.4768-0.3889-0.3154-0.3072,2.02
70,"kia * *, kia * * * *, kia * * * * *, kia * * * * * *, carvana",0.4157-0.4015-0.3974-0.3937-0.3864,1.99
71,"apple carplay, carplay, apple, false advertisement, advertisement",0.7048-0.4937-0.3724-0.3099-0.2789,2.16
72,"cosigner, new vehicle, old vehicle, sale process, red tape",0.4683-0.3963-0.3281-0.3262-0.3201,1.84
73,"carvanas failure, repair costs, costly repair bill, inspection claims, costly repair",0.5079-0.4896-0.4803-0.4794-0.4789,2.44
74,"scam scam scam, scam, bank, pre approved, delivery charge",0.5688-0.5466-0.3676-0.361-0.3495,2.19
75,"carvana dealership, carvana engineer, carvana, carvana lot, carvanas",0.4763-0.4527-0.4108-0.4106-0.3766,2.13
76,"new transmission, cleaned, torque converter, car, transmission",0.4367-0.3892-0.3872-0.3655-0.3408,1.92
77,"carvana, banks, checking account, denied, unfair business practices",0.4091-0.3733-0.365-0.3492-0.3378,1.83
78,"refund, delivered, bank, repair centers, june",0.4311-0.228-0.2067-0.2025-0.1932,1.26
79,"pre approved, approved, car carvana, refund, carvana",0.5698-0.4295-0.4248-0.4106-0.3631,2.2
80,"file claim, claim, silver rock, drive, shield",0.4444-0.314-0.2941-0.2855-0.2675,1.61
81,"customer service, company hours, horrible experience, customer, service",0.47-0.468-0.4041-0.3357-0.3199,2.0
82,"vehicle carvana, carvana, carvana * * * *, purchase vehicle, vehicle",0.7046-0.5906-0.5494-0.5426-0.3974,2.78
83,"refund, someone cancels, cancelation, ticket, customer service",0.4606-0.4321-0.4247-0.3724-0.3656,2.06
84,"information, fir, time",0.3571-0.2709-0.193,0.82
85,"lawsuit, buying online, car title, car buying, florida title",0.3233-0.3025-0.2979-0.2662-0.265,1.45
86,"rental coverage, high car payment, car major issues, extended warranty, car payment",0.4641-0.4123-0.3741-0.3692-0.3665,1.99
87,"repairs, rotors, complete auto care, dealers, lemon dealers",0.3825-0.3573-0.3559-0.3315-0.3241,1.75
88,"recommend carvana, carvana, car buying, car accident, wrong car",0.5739-0.5194-0.3987-0.3709-0.3689,2.23
89,"loan, payment, wen loan, good company, pay",0.437-0.3332-0.318-0.2713-0.2439,1.6
90,"car, vehicle, shady, call, blame",0.2354-0.2166-0.2021-0.1679-0.1657,0.99
91,"annotation error reimbursement, customer support, mileage limit, wrong truck, reimbursement",0.3992-0.3641-0.362-0.3502-0.3404,1.82
92,"full inspection, inspection, broken windshield, car carvana, front heat shield",0.4436-0.4222-0.3824-0.3783-0.3755,2.0
93,"repair, wheels, carvana, refund, damage",0.4009-0.3994-0.3792-0.3428-0.3295,1.85
94,"reimbursement, warranty, car note, * * * * * * * tucson, vehicle vehicle",0.3851-0.3546-0.3294-0.2976-0.2821,1.65
95,"caravans, car, rust, flood, customers",0.6596-0.313-0.2946-0.2459-0.2293,1.74
96,"repairs, lending purchase, bondo repairs, cracked, windshield",0.4124-0.3884-0.3873-0.3707-0.3425,1.9
97,"tag plate, paper tag, paperwork, warranty, documents",0.3702-0.3467-0.3391-0.3044-0.291,1.65
98,"sell, 6+cars, selling, review, new offer",0.32-0.2982-0.2895-0.2891-0.2869,1.48
99,"authorized mechanic, wipers, engine light, car, drove",0.3747-0.289-0.2668-0.2544-0.2465,1.43
100,"worst car buying experience, worst car buying, absolutely horrible, car buying experience, worst car",0.6564-0.5804-0.5248-0.4875-0.4264,2.68
101,"payments, carvana, car, buy, claim",0.4368-0.3503-0.3265-0.2993-0.2492,1.66
102,"delivery fee, order delivery date, new delivery date, delivery, deliver",0.4367-0.4106-0.3811-0.3776-0.3643,1.97
103,"crazy expensive insurance policy, refinance, expensive insurance, insurance policy, insurance",0.4846-0.4613-0.4019-0.3724-0.366,2.09
104,"carvana, payment, car, online, deal",0.4637-0.397-0.2363-0.2329-0.2255,1.56
105,"engine light code, engine light, new york emission, * * * * * * frontier, emission",0.5348-0.437-0.4306-0.3795-0.3175,2.1
106,"carvana problem, carvana, delay delivery, delivery, customer",0.6431-0.5749-0.4814-0.3998-0.3332,2.43
107,"wrong mileage, mileage, odometer, offer by$5400, mile",0.5363-0.4646-0.3338-0.3326-0.3176,1.98
108,"vehicle purchase, ohio transport, vehicle, insurance, car",0.3871-0.2963-0.2737-0.2647-0.2593,1.48
109,"loan, new vehicle, current loan, buy, payment",0.3569-0.3531-0.3518-0.3211-0.3108,1.69
110,"credit scam, financing, loan, scam, low monthly payments",0.5284-0.4343-0.3701-0.3379-0.3358,2.01
111,"manual appraisal, appraisal, appraisal online, rejection, reject",0.4452-0.4375-0.4297-0.2761-0.2669,1.86
112,"worst customer service, cancel, customer service, carvana, customer",0.4678-0.4666-0.4516-0.4407-0.4027,2.23
113,"car carvana, carvana, best carvana, passenger mirror, rust issues",0.5615-0.4849-0.4345-0.3875-0.3252,2.19
114,"delv fee, refund, transaction, complete transaction, delv deposits",0.4547-0.4227-0.3251-0.3072-0.3048,1.81
115,"insurance card, insurance, deadline, minute timer, low stress buying experience",0.4355-0.3719-0.3717-0.3674-0.3521,1.9
116,"mobile deposit, mobile deposits, deposit, direct deposit, business check",0.5493-0.4973-0.4593-0.4422-0.4384,2.39
117,"carvana insurance, car carvana, carvana rep, carvana, scam",0.6395-0.5535-0.4961-0.458-0.347,2.49
118,"deposit, business days, terrible policy, days, interest",0.4593-0.2952-0.2418-0.2396-0.2346,1.47
119,"shipping charge, shipping, scam, charge, vehicle",0.6127-0.47-0.4638-0.3663-0.3652,2.28
120,"hybris prius prime, warranty company carvana, prius prime, limited warranty company carvana contracts, low air warning",0.4047-0.4033-0.3894-0.365-0.3649,1.93
121,"fraud, theft, carvana, ghosts, car",0.5021-0.4404-0.3913-0.3352-0.3103,1.98
122,"wholesale cost, fair market value, retail price, carfax, cost",0.6403-0.5101-0.4696-0.4278-0.4129,2.46
123,"carvana, sign contract, contract, car, money",0.5544-0.3908-0.3786-0.3729-0.2233,1.92
124,"license, old tag, dmv, tag, buying online",0.4311-0.3926-0.3624-0.3326-0.3326,1.85
125,"refund, unauthorized, charge, business, disgusting",0.5309-0.3535-0.2154-0.1981-0.1744,1.47
126,"carfax reports, purchase vehicle, carfax, insurance, car",0.5388-0.4477-0.3951-0.3669-0.3513,2.1
127,"car buying, bank, tracking number, car buying experience, car carvana",0.4408-0.4084-0.377-0.3656-0.3642,1.96
128,"vehicle, hitch, dream vehicle, front tires, vehicles",0.4637-0.4418-0.4412-0.4307-0.3837,2.16
129,"refund, full refund, loan, buyer, buyer beware",0.4824-0.4664-0.4495-0.283-0.2384,1.92
130,"carvana, pre - sell experience, sale experience, broken car, sale",0.4907-0.4573-0.4526-0.4051-0.376,2.18
131,"temporary tag, registration, day tag, registration process, tag",0.5819-0.4346-0.4335-0.4116-0.3994,2.26
132,"strike, carvana, delivery, cancel, negative stars",0.3673-0.3237-0.3221-0.3167-0.2976,1.63
133,"carvana, vehicle purchase, carvana years, expired tag, dealership",0.5036-0.4865-0.4294-0.4119-0.4105,2.24
134,"temporary plates, dirty condition, plates, ca, car",0.4153-0.3364-0.3295-0.2085-0.2068,1.5
135,"carvana, guarantee, cancel, previous customer, vw beetle",0.4516-0.4261-0.2834-0.2689-0.2681,1.7
136,"verification test, american citizen, verification, identity, carvana",0.4165-0.3834-0.3264-0.3063-0.2878,1.72
137,"vin number, vehicle online, carvana trade, improper paperwork handling, carvana",0.4398-0.4333-0.4257-0.4006-0.3576,2.06
138,"warranty, buying part, exclusions warranty, * * * * dealership, dealership",0.3805-0.3765-0.358-0.3487-0.3436,1.81
139,"rear wiper blade, imperfections, wiper, front bumper, vehicle",0.4233-0.3809-0.3794-0.3429-0.3352,1.86
140,"trustworthy dealership, dealership, local dealer, dealer, buy",0.5106-0.4952-0.3888-0.3849-0.3746,2.15
141,"insurance, lower price, inch crack, bumper, front bumper",0.3539-0.321-0.3158-0.3091-0.2937,1.59
142,"warranty, sunroof, carvana retail, inspectable item, dealer",0.4097-0.3275-0.3109-0.3066-0.3064,1.66
143,"carvana purchase, purchase vehicle, purchase vehicles, carvana, vehicle",0.6929-0.6199-0.584-0.4968-0.461,2.85
144,"delivery carvana, phone bill, paper phone bill, cell phone bill, carvana",0.522-0.4948-0.4383-0.4354-0.4278,2.32
145,"car purchase, hours, purchase, car, representative",0.4514-0.3495-0.2877-0.274-0.2534,1.62
146,"spare tire, tire, applicable safety features, spare, safety features",0.6493-0.4301-0.4095-0.399-0.3681,2.26
147,"personal financing check, financing check, payment verification, customer service, customer service reps",0.4199-0.415-0.4115-0.377-0.3478,1.97
148,"dealership, delivery fee, new license, carvana agent, delivery",0.3796-0.3699-0.3637-0.3368-0.33,1.78
149,"floor mats, mats, horrible customer service, horrible customer, work order",0.4006-0.3993-0.3849-0.3453-0.3217,1.85
150,"bad rust damage, carvana, rust damage, lemon, bad rusting",0.4562-0.4425-0.4253-0.3991-0.3918,2.11
151,"kia * *, kia * * * *, kia * * * * *, warranty, oil gasket",0.5154-0.5148-0.5123-0.3827-0.3708,2.3
152,"negative stars, carvana, stars, negative, silver",0.6502-0.3838-0.3608-0.3409-0.2834,2.02
153,"extended warranty, carvana, warranty, vehicle, * * * * focus",0.4287-0.3585-0.3491-0.2914-0.2826,1.71
154,"carvana, brakes, car, biggest mistake, buy",0.5167-0.3194-0.2858-0.284-0.22,1.63
155,"car carvana, carvana, hard carvana, * * * * * vehicles, vehicles",0.6804-0.61-0.553-0.4124-0.3751,2.63
156,"carvana, carvana order, horrible buying experience, buying, buy",0.6516-0.6368-0.4034-0.3654-0.3454,2.4
157,"live chat, prior phone call, phone call, call, chat",0.5227-0.4688-0.3528-0.3299-0.3227,2.0
158,"zero, check engine light, engine light, check engine, customer service",0.3791-0.3768-0.3635-0.3241-0.2742,1.72
159,"scam, carvana, mechanic shop, mechanic, company",0.4885-0.453-0.3677-0.304-0.2978,1.91
160,"silver rock warranty, silver rock repair facility, repair, repair facility, different repair facility",0.5452-0.4761-0.4575-0.4475-0.4043,2.33
161,"offer repairs, wheel repairs, cadillac xt6, windshield repairs, repairs",0.4465-0.4123-0.4047-0.359-0.3351,1.96
162,"horrible customer service, horrible customer, dealership, customer service, customer",0.6194-0.5651-0.5456-0.5077-0.4276,2.67
163,"innocent car, steering wheel, electronic steering rack, steering, warranty",0.3722-0.3546-0.3507-0.3467-0.3338,1.76
164,"warranty company, warranty, carvana, repair, mechanic",0.4367-0.3955-0.3722-0.3397-0.3297,1.87
165,"carvana, dealership, delivery time, approximate delivery time, scheduling delivery",0.4707-0.4592-0.3166-0.304-0.3037,1.85
166,"worse customer service person, customer service person, carvana, customer service line, customer service",0.4359-0.3751-0.3332-0.3198-0.3118,1.78
167,"cars delivery, delivery day, delivery date, carvana, refund",0.4503-0.4009-0.3983-0.3512-0.3367,1.94
168,"non - refundable shipping cost, carvana, carvana states, bumper, shipping cost",0.4933-0.4606-0.4458-0.4256-0.3857,2.21
169,"mileage limit, warranty, current mileage, repairs, carvanacare",0.3875-0.377-0.3751-0.3644-0.3542,1.86
170,"job verification, verification, update license, identity, tax returns",0.3475-0.2823-0.2692-0.2544-0.2291,1.38
171,"vehicle carvana, carvana, carvanas, second vehicle, sure carvana",0.687-0.5593-0.5557-0.5297-0.4668,2.8
172,"jeeps, dishonest company, customer, company, sell",0.5462-0.376-0.2516-0.2305-0.2116,1.62
173,"reimburse, loaner, dashboard, shop, car",0.267-0.2624-0.249-0.2438-0.2392,1.26
174,"purchase carvana, warranty center, warranty, carvana, alternator",0.4874-0.4011-0.3555-0.3269-0.2937,1.86
175,"fraudulent, customer service, customer, car, delivery",0.4955-0.4005-0.3479-0.3059-0.2592,1.81
176,"jeep, new jeep, undrivable vehicle, vehicle, customer service",0.4539-0.4442-0.3628-0.3451-0.3165,1.92
177,"new temporary license, temporary license, license plates registration, new license plates, new license",0.5371-0.5203-0.4523-0.4247-0.4038,2.34
178,"live customer service advocates, verification issue, verification process, customer service advocates, horrible customer service",0.4688-0.4021-0.401-0.3884-0.3861,2.05
179,"new paper plates, paper plates, registration, temp plates, plates",0.4491-0.407-0.3932-0.378-0.3616,1.99
180,"deliver, tires, car, joke, cleaned",0.3742-0.3311-0.3202-0.2167-0.1745,1.42
181,"carvana, deposit, refund, payment, theft",0.4785-0.4389-0.4128-0.4073-0.3941,2.13
182,"approved, vehicle, days return, return, money thar",0.3979-0.3791-0.3238-0.2605-0.2221,1.58
183,"car carvana, carvana, carfax report, inspection, car",0.5122-0.4113-0.3518-0.343-0.3363,1.95
184,"new carvana vehicle, carvana vehicle, extended warranty, warranty, inspection",0.4862-0.4583-0.3962-0.3883-0.3855,2.11
185,"* * * * * * * car, * * * * * * car, * * * * * car, * * * * car, * * * car",0.393-0.3844-0.3737-0.3606-0.3449,1.86
186,"warranty silver rock, carvana, warranty, aftermarket, catalytic converter",0.462-0.4217-0.3999-0.3627-0.3367,1.98
187,"agent chat, agent, car carvana, bot chat, customer service",0.5258-0.3898-0.3854-0.3654-0.3012,1.97
188,"transmission, transmission issue, dealership, car, cars",0.5127-0.5078-0.3919-0.3351-0.3328,2.08
189,"negative star, day guarantee, guarantee, coil pack replacement starter coil pack spark plugs, horrible",0.4139-0.3672-0.3525-0.3346-0.3172,1.79
190,"worst customer treatment, carvana, customer, legal action, vehicle",0.6641-0.5206-0.43-0.3718-0.3593,2.35
191,"approved car, delivery fee, delivery, fee, approved",0.5864-0.5444-0.4675-0.3779-0.3644,2.34
192,"loan check, refund, with- deplorable customer service, customer service, scammers",0.3851-0.329-0.2987-0.2912-0.2784,1.58
193,"tmobile, sim card, carvana, phone bull, * * * i3",0.44-0.4143-0.3852-0.3521-0.3219,1.91
194,"registration, plates, temporary tag, terrible customer service, tag",0.5474-0.4871-0.4598-0.3863-0.3561,2.24
195,"gas door, car, carvana, zip ties, repair",0.4356-0.417-0.3435-0.3293-0.3216,1.85
196,"advertised car, false advertise, falsely advertised, carvana, wheel drive vehicle",0.587-0.5336-0.5238-0.3851-0.3816,2.41
197,"credit car, refundable shipping fee, credit union, carvana, recommend carvana",0.3978-0.3814-0.3521-0.3393-0.3267,1.8
198,"new bumper, bumper, vehicle return, overall star ratings, emergency braking",0.413-0.3798-0.3003-0.2884-0.2793,1.66
199,"transaction, payment, human contact, contact, human",0.4715-0.446-0.3628-0.3549-0.2522,1.89
200,"payment change(which, refund process, new payment, refund, payment",0.4223-0.3991-0.385-0.3567-0.3475,1.91
201,"switch company, price, company, dropped, switch",0.4645-0.3412-0.2907-0.2829-0.2686,1.65
202,"terrible experience, experience, terrible, lie, calls",0.3922-0.233-0.2306-0.2258-0.22,1.3
203,"letterhead, company, paperwork, crime, business",0.4807-0.3016-0.2458-0.2124-0.1856,1.43
204,"rotor issue, lexus, rotors, insurer silverrock, brakes",0.5294-0.4411-0.3974-0.3404-0.3352,2.04
205,"refundable shipping fee, shipping fee, cancellation, uber, refund",0.5684-0.4306-0.4249-0.3685-0.3679,2.16
206,"inspection, point inspection, jeep, review, check engine light",0.4627-0.4361-0.3676-0.3613-0.3288,1.96
207,"delivery date, vehicle delivery, carvana, first delivery date, transportation delay",0.4291-0.425-0.4211-0.4201-0.3947,2.09
208,"license plates registration, nightmare registration process, registration, car delivery day, registration process",0.4546-0.4325-0.4259-0.4045-0.3813,2.1
209,"several damages, damages, customer support, payment, poor repair job",0.3963-0.3531-0.3383-0.3056-0.3009,1.69
210,"severe rust, rust, carvana, carvana * * * *, carvana * * * * *",0.5486-0.4491-0.3766-0.3615-0.3568,2.09
211,"auto insurance, carvana, insurance, auto, warranty",0.6362-0.5585-0.4773-0.3296-0.326,2.33
212,"information verification step, phone bill, delivery fee, information verification, delivery",0.3504-0.3395-0.3116-0.3083-0.3,1.61
213,"delivery driver, customer service, hub, driver, compensation",0.3788-0.327-0.3217-0.3004-0.2969,1.62
214,"approved car, worst customer service, customer service, carvana, car yesterday",0.4307-0.4109-0.3508-0.3331-0.3313,1.86
215,"delivery fee, shipping fee, fee, shipping, drive train warranty",0.5086-0.4836-0.4065-0.3188-0.3144,2.03
216,"carvana support team, carvana, delivery fees, bad customer, delivery",0.4349-0.381-0.3647-0.3602-0.3384,1.88
217,"old address, old drivers license, grandmothers address, grandmother address, purchase vehicle",0.4136-0.3672-0.3651-0.3521-0.3181,1.82
218,"customer service reps, carvana business, car issues, car carvana, warranty provider",0.4789-0.4685-0.4439-0.4294-0.3951,2.22
219,"fraudulent car dealership, car dealership, dealership, carvana, fraudulent",0.7441-0.5057-0.4983-0.4545-0.4055,2.61
220,"car carvana, carvana, dealership, delivery date, transfer",0.6048-0.534-0.4455-0.3639-0.3418,2.29
221,"carvana, transaction, sell, car, entire transaction",0.5124-0.3158-0.2723-0.2579-0.2567,1.62
222,"pickup date, pickup, payments, payment, terrible service",0.3569-0.3129-0.2963-0.2889-0.2635,1.52
223,"carvana, msrp, vehicle, troubles, transfer",0.4115-0.4023-0.3085-0.2933-0.266,1.68
224,"customers, purchase, shady, offer, shady things",0.3268-0.248-0.2103-0.1712-0.1598,1.12
225,"vehicle censors, loan, balance loan, balance, return vehicle",0.3615-0.3267-0.2927-0.2913-0.2721,1.54
226,"deposit, payment, account, funds, purchase",0.3332-0.323-0.2576-0.2466-0.2088,1.37
227,"whole new appraisal, new appraisal, current appraisal, appraisal, actual payoff",0.5055-0.4755-0.418-0.4089-0.3389,2.15
228,"carvana, scam, payments, bank, sell",0.5568-0.4334-0.4191-0.3511-0.2973,2.06
229,"cancellation, unprofessional process, payment, shipping fee, purchasing",0.3563-0.3211-0.2859-0.2802-0.2481,1.49
230,"dealer, local dealer, sell, car, paperwork",0.4365-0.3886-0.3338-0.3003-0.2821,1.74
231,"inspection, inspection process, vehicle carvana, purchase vehicle, inspection team",0.4938-0.4861-0.4735-0.4586-0.4468,2.36
232,"audio, speakers, warranty, limited warranty, car",0.4846-0.4824-0.3459-0.3365-0.2815,1.93
233,"worst car buying experience, car buying experience, worst car buying, car buying, vehicle",0.5488-0.4843-0.4664-0.4467-0.3713,2.32
234,"fraudulent company, fraudulent, carvana, engine, undisclosed leaks",0.5789-0.4742-0.4649-0.3822-0.3662,2.27
235,"delivery fee, refund, financing, purchase process, % financing",0.4409-0.435-0.4341-0.3919-0.368,2.07
236,"carvana, purchase agreement, payment, bank, days",0.5022-0.4006-0.3577-0.3088-0.2374,1.81
237,"delivery, payment, order, purchase, paperwork deposit",0.4569-0.3404-0.3248-0.2842-0.2462,1.65
238,"payment, different rep, carvana, different reps, rep",0.3341-0.2723-0.2635-0.2596-0.2562,1.39
239,"bicycle, deadlines, deadline, payment, original payment",0.3352-0.33-0.3257-0.319-0.3141,1.62
240,"outliers, refund, customers, adequate address, eg customers",0.4357-0.3506-0.2901-0.2791-0.2722,1.63
241,"purchase vehicle, refund process, financing, refund, state inspection",0.4736-0.4093-0.3659-0.3558-0.3415,1.95
242,"car, buy, delivery, customer, work car",0.2601-0.2376-0.2244-0.2159-0.2139,1.15
243,"documents, price, dropped, $, later",0.384-0.3781-0.317-0.2275-0.1323,1.44
244,"reviews, inspection, * * * * * * reviews, review, file claim",0.3356-0.3315-0.3291-0.328-0.2865,1.61
245,"purchase carvana, carvana llc, return vehicle, day return policy, return policy",0.531-0.515-0.4666-0.4273-0.427,2.37
246,"scrap yard prices, sell, scammy, first offer, prices",0.3537-0.2897-0.281-0.2672-0.2556,1.45
247,"scam, likely scam, shipping fee, vehicle deliver today, contract",0.4747-0.4214-0.365-0.3619-0.3434,1.97
248,"horrible company, refund, delivery charge, buy order, delivery fee",0.5098-0.4558-0.4048-0.3729-0.3725,2.12
249,"car buying process, car buying, approved, buying process, approval",0.4848-0.4224-0.4048-0.3818-0.3722,2.07
250,"cancel, refund, cancel confirmation email, financing, bank",0.4438-0.4194-0.404-0.4023-0.3315,2.0
251,"carvana, car insurance, * * * * * * rav4, new car, insurance",0.5913-0.4682-0.4155-0.3352-0.3204,2.13
252,"credit report, credit, lock, purchase, hold",0.3242-0.2263-0.218-0.1897-0.1773,1.14
253,"phone bill, car loan, financing, loan, approved car",0.4298-0.4075-0.3331-0.2929-0.2857,1.75
254,"financing, bank, insurance, downpayment, insurance)then",0.4627-0.364-0.3441-0.342-0.2866,1.8
